FIPS,County,2000-2016 avg
48001,Anderson,8.255828294849294
48003,Andrews,5.26443067648352
48005,Angelina,8.662288484486453
48007,Aransas,8.37315837637072
48009,Archer,7.1485825882902345
48011,Armstrong,5.281081071614379
48013,Atascosa,8.164720439332125
48015,Austin,8.086628562683869
48017,Bailey,4.628029461445805
48019,Bandera,6.645911378784764
48021,Bastrop,7.5710076755530675
48023,Baylor,6.431648384286217
48025,Bee,7.99744943584586
48027,Bell,8.53127510305762
48029,Bexar,9.311781574105522
48031,Blanco,6.85009615989776
48033,Borden,5.9154985759360175
48035,Bosque,7.8686150272520194
48037,Bowie,9.238638655759994
48039,Brazoria,9.15169368793506
48041,Brazos,9.077858133923407
48043,Brewster,7.136908280064675
48045,Briscoe,5.409109353795766
48047,Brooks,8.265955743308815
48049,Brown,6.6619784650202485
48051,Burleson,7.91677778818906
48053,Burnet,7.0912579662171105
48055,Caldwell,8.201823036220471
48057,Calhoun,7.499466977476458
48059,Callahan,5.961760521827135
48061,Cameron,9.531946879684398
48063,Camp,8.536947853062872
48065,Carson,5.288854016600046
48067,Cass,8.539987103178394
48069,Castro,4.882567029946796
48071,Chambers,9.403590941005353
48073,Cherokee,8.083549226854903
48075,Childress,5.936335828550439
48077,Clay,7.5009055601801515
48079,Cochran,4.590232983928576
48081,Coke,6.669250408159282
48083,Coleman,6.213150720142441
48085,Collin,10.269657364154906
48087,Collingsworth,5.6727389267590445
48089,Colorado,8.06313997963193
48091,Comal,8.2890539815665
48093,Comanche,6.731314877416838
48095,Concho,6.979759450503433
48097,Cooke,8.844385436098477
48099,Coryell,7.724272343875076
48101,Cottle,5.752941159641042
48103,Crane,6.639914852640719
48105,Crockett,8.654316859211361
48107,Crosby,5.26311075669387
48109,Culberson,5.904083590262464
48111,Dallam,4.925433481109096
48113,Dallas,11.019617909825646
48115,Dawson,5.467797924465215
48117,Deaf Smith,4.735044608888823
48119,Delta,9.104194766808359
48121,Denton,10.28227108160822
48123,DeWitt,7.533256703943681
48125,Dickens,5.342042165616582
48127,Dimmit,8.522658935505007
48129,Donley,5.381105680152464
48131,Duval,8.050566685859438
48133,Eastland,6.220070912095981
48135,Ector,6.445186837643438
48137,Edwards,7.585509571667979
48139,Ellis,9.62723361654665
48141,El Paso,8.928883631013717
48143,Erath,7.1323725312907955
48145,Falls,8.338670356594774
48147,Fannin,9.036092507970146
48149,Fayette,7.787546622401299
48151,Fisher,5.993474948496976
48153,Floyd,5.087748287264476
48155,Foard,6.113407703919664
48157,Fort Bend,9.544224400337644
48159,Franklin,8.645212982593332
48161,Freestone,8.386269354783607
48163,Frio,7.503841443086094
48165,Gaines,5.057802260178685
48167,Galveston,10.182842931342368
48169,Garza,5.913063910819904
48171,Gillespie,6.29262709840772
48173,Glasscock,6.801031643693061
48175,Goliad,7.504535121780525
48177,Gonzales,7.878543197964343
48179,Gray,5.776028287084028
48181,Grayson,9.210793755818434
48183,Gregg,9.338840119190866
48185,Grimes,8.154393823527748
48187,Guadalupe,8.72689729096076
48189,Hale,5.528854931975207
48191,Hall,5.748482165271349
48193,Hamilton,6.9576618960459475
48195,Hansford,5.741732805974723
48197,Hardeman,6.1483523305375885
48199,Hardin,9.033879618764002
48201,Harris,11.364402826911133
48203,Harrison,8.6353484240486
48205,Hartley,4.92427829309289
48207,Haskell,6.0722518879687435
48209,Hays,8.083029025793723
48211,Hemphill,6.1528149114832775
48213,Henderson,8.499417706201472
48215,Hidalgo,10.184024406957079
48217,Hill,8.736185249921336
48219,Hockley,5.173560691875825
48221,Hood,8.161236627086119
48223,Hopkins,8.974889868660863
48225,Houston,8.111341375576885
48227,Howard,6.7056580107915655
48229,Hudspeth,5.8755340579956785
48231,Hunt,9.604057847647338
48233,Hutchinson,6.263520477709462
48235,Irion,7.959059035607354
48237,Jack,6.916249355831774
48239,Jackson,7.680823057639855
48241,Jasper,8.79697444329971
48243,Jeff Davis,5.160364484777383
48245,Jefferson,9.998740256522495
48247,Jim Hogg,8.4162719315417
48249,Jim Wells,8.48379805849574
48251,Johnson,9.315130584118196
48253,Jones,6.1708941866871525
48255,Karnes,8.022116028537221
48257,Kaufman,9.514087401704286
